ty	petitions_type	year	av_words	petitions
parish1690	parish	1690	196	7
other1690	other	1690	165	63
parish1691	parish	1691	214	18
other1691	other	1691	177	146
parish1692	parish	1692	199	17
other1692	other	1692	182	44
other1693	other	1693	209	4
parish1693	parish	1693	256	14
other1694	other	1694	215	25
parish1694	parish	1694	239	39
parish1695	parish	1695	243	14
other1695	other	1695	173	25
parish1696	parish	1696	200	8
other1696	other	1696	153	92
parish1697	parish	1697	227	34
other1697	other	1697	173	104
parish1698	parish	1698	228	30
other1698	other	1698	175	67
parish1699	parish	1699	257	55
other1699	other	1699	174	129
other1700	other	1700	211	7
parish1700	parish	1700	246	27
parish1701	parish	1701	190	8
other1701	other	1701	209	28
parish1702	parish	1702	175	10
other1702	other	1702	180	34
parish1703	parish	1703	227	25
other1703	other	1703	189	69
other1704	other	1704	135	3
parish1704	parish	1704	318	3
parish1705	parish	1705	711	1
other1705	other	1705	122	10
parish1706	parish	1706	254	28
other1706	other	1706	188	117
parish1707	parish	1707	253	26
other1707	other	1707	197	131
parish1708	parish	1708	254	40
other1708	other	1708	169	161
parish1709	parish	1709	233	36
other1709	other	1709	187	78
other1710	other	1710	199	18
parish1710	parish	1710	259	36
parish1711	parish	1711	226	55
other1711	other	1711	175	76
other1712	other	1712	156	18
parish1712	parish	1712	246	18
parish1713	parish	1713	217	34
other1713	other	1713	154	69
parish1714	parish	1714	215	51
other1714	other	1714	159	113
parish1715	parish	1715	239	73
other1715	other	1715	169	204
parish1716	parish	1716	220	60
other1716	other	1716	172	203
parish1717	parish	1717	216	97
other1717	other	1717	190	154
parish1718	parish	1718	214	28
other1718	other	1718	195	80
parish1719	parish	1719	212	61
other1719	other	1719	183	82
parish1720	parish	1720	214	48
other1720	other	1720	189	124
parish1721	parish	1721	222	37
other1721	other	1721	191	41
parish1722	parish	1722	210	81
other1722	other	1722	212	114
parish1723	parish	1723	216	71
other1723	other	1723	220	77
other1724	other	1724	219	58
parish1724	parish	1724	214	58
parish1725	parish	1725	199	56
other1725	other	1725	172	90
parish1726	parish	1726	223	55
other1726	other	1726	203	69
other1727	other	1727	178	60
parish1727	parish	1727	210	67
parish1728	parish	1728	200	11
other1728	other	1728	225	14
parish1729	parish	1729	193	2
other1729	other	1729	219	16
parish1730	parish	1730	222	42
other1730	other	1730	199	94
other1731	other	1731	229	46
parish1731	parish	1731	195	55
parish1732	parish	1732	200	68
other1732	other	1732	213	95
parish1733	parish	1733	203	91
other1733	other	1733	253	135
parish1734	parish	1734	207	73
other1734	other	1734	209	74
parish1735	parish	1735	207	54
other1735	other	1735	246	65
parish1736	parish	1736	203	72
other1736	other	1736	219	79
other1737	other	1737	225	56
parish1737	parish	1737	206	80
other1738	other	1738	196	20
parish1738	parish	1738	210	26
other1739	other	1739	210	11
parish1739	parish	1739	196	22
other1740	other	1740	230	6
parish1740	parish	1740	199	19
other1741	other	1741	339	5
parish1741	parish	1741	204	22
other1742	other	1742	333	3
parish1742	parish	1742	223	15
other1743	other	1743	246	6
parish1743	parish	1743	241	22
other1744	other	1744	280	9
parish1744	parish	1744	225	14
other1745	other	1745	331	13
parish1745	parish	1745	206	18
other1746	other	1746	229	15
parish1746	parish	1746	187	17
parish1747	parish	1747	211	54
other1747	other	1747	223	55
other1748	other	1748	229	41
parish1748	parish	1748	215	64
other1749	other	1749	233	37
parish1749	parish	1749	226	44
parish1750	parish	1750	214	21
other1750	other	1750	253	28
parish1751	parish	1751	227	82
other1751	other	1751	281	84
other1752	other	1752	221	11
parish1752	parish	1752	209	14
parish1753	parish	1753	197	22
other1753	other	1753	236	35
parish1754	parish	1754	215	51
other1754	other	1754	314	71
parish1755	parish	1755	213	27
other1755	other	1755	272	35
parish1756	parish	1756	210	14
other1756	other	1756	267	19
parish1757	parish	1757	238	22
other1757	other	1757	191	31
parish1758	parish	1758	214	46
other1758	other	1758	249	51
other1759	other	1759	273	4
parish1759	parish	1759	223	14
other1760	other	1760	297	34
parish1760	parish	1760	226	37
parish1761	parish	1761	217	7
other1761	other	1761	193	22
other1762	other	1762	257	33
parish1762	parish	1762	239	68
parish1763	parish	1763	218	40
other1763	other	1763	272	43
other1764	other	1764	343	20
parish1764	parish	1764	212	32
other1765	other	1765	350	9
parish1765	parish	1765	220	33
other1766	other	1766	221	13
parish1766	parish	1766	219	19
other1767	other	1767	331	26
parish1767	parish	1767	215	63
other1768	other	1768	301	27
parish1768	parish	1768	221	66
