dtype	year	documents
other	1690	402
petitions	1690	70
other	1691	540
petitions	1691	167
other	1692	447
petitions	1692	61
other	1693	221
petitions	1693	18
other	1694	447
petitions	1694	65
other	1695	629
petitions	1695	39
other	1696	385
petitions	1696	100
other	1697	501
petitions	1697	138
other	1698	723
petitions	1698	97
other	1699	782
petitions	1699	187
other	1700	150
petitions	1700	34
other	1701	216
petitions	1701	36
other	1702	121
petitions	1702	44
other	1703	212
petitions	1703	94
other	1704	37
petitions	1704	6
other	1705	57
petitions	1705	11
other	1706	325
petitions	1706	147
other	1707	370
petitions	1707	158
other	1708	467
petitions	1708	207
other	1709	470
petitions	1709	115
other	1710	135
petitions	1710	54
other	1711	331
petitions	1711	132
other	1712	128
petitions	1712	36
other	1713	283
petitions	1713	105
other	1714	344
petitions	1714	164
other	1715	620
petitions	1715	282
other	1716	613
petitions	1716	267
other	1717	630
petitions	1717	262
other	1718	408
petitions	1718	114
other	1719	446
petitions	1719	147
other	1720	615
petitions	1720	177
other	1721	301
petitions	1721	84
other	1722	679
petitions	1722	200
other	1723	606
petitions	1723	150
other	1724	449
petitions	1724	122
other	1725	552
petitions	1725	152
other	1726	505
petitions	1726	126
other	1727	760
petitions	1727	134
other	1728	135
petitions	1728	26
other	1729	174
petitions	1729	20
other	1730	496
petitions	1730	139
other	1731	463
petitions	1731	103
other	1732	632
petitions	1732	165
other	1733	834
petitions	1733	230
other	1734	591
petitions	1734	147
other	1735	569
petitions	1735	121
other	1736	645
petitions	1736	154
other	1737	616
petitions	1737	140
other	1738	249
petitions	1738	47
other	1739	97
petitions	1739	33
other	1740	89
petitions	1740	25
other	1741	118
petitions	1741	27
other	1742	170
petitions	1742	18
other	1743	129
petitions	1743	28
other	1744	255
petitions	1744	23
other	1745	168
petitions	1745	31
other	1746	165
petitions	1746	32
other	1747	577
petitions	1747	110
other	1748	925
petitions	1748	107
other	1749	665
petitions	1749	83
other	1750	442
petitions	1750	49
other	1751	869
petitions	1751	167
other	1752	166
petitions	1752	25
other	1753	348
petitions	1753	57
other	1754	858
petitions	1754	122
other	1755	544
petitions	1755	63
other	1756	271
petitions	1756	33
other	1757	251
petitions	1757	53
other	1758	765
petitions	1758	97
other	1759	100
petitions	1759	18
other	1760	1106
petitions	1760	74
other	1761	756
petitions	1761	30
other	1762	1045
petitions	1762	101
other	1763	956
petitions	1763	83
other	1764	506
petitions	1764	52
other	1765	464
petitions	1765	42
other	1766	392
petitions	1766	33
other	1767	1182
petitions	1767	89
other	1768	812
petitions	1768	93
other	1769	964
petitions	1769	63
other	1770	767
petitions	1770	98
other	1771	695
petitions	1771	42
other	1772	1068
petitions	1772	38
other	1773	1176
petitions	1773	75
other	1774	1396
petitions	1774	165
other	1775	1236
petitions	1775	72
other	1776	543
petitions	1776	27
other	1777	641
petitions	1777	73
other	1778	1649
petitions	1778	71
other	1779	1138
petitions	1779	93
other	1780	914
petitions	1780	75
other	1781	1023
petitions	1781	68
other	1782	1163
petitions	1782	48
other	1783	1287
petitions	1783	105
other	1784	1567
petitions	1784	141
other	1785	1295
petitions	1785	144
other	1786	1576
petitions	1786	103
other	1787	1173
petitions	1787	32
other	1788	514
petitions	1788	19
other	1789	1144
petitions	1789	71
other	1790	758
petitions	1790	4
other	1791	1128
petitions	1791	126
other	1792	506
petitions	1792	2
other	1793	1643
petitions	1793	136
other	1794	1303
petitions	1794	108
other	1795	1734
petitions	1795	97
other	1796	644
petitions	1796	137
other	1797	407
petitions	1797	98
other	1798	1825
petitions	1798	133
other	1799	1545
petitions	1799	110
