"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103070074"	"1753-01-03"	1753	"settlement"
"GLBAEP103070075"	"1753-02-05"	1753	"settlement"
"GLBAEP103070076"	"1753-02-24"	1753	"settlement"
"GLBAEP103070077"	"1753-02-24"	1753	"settlement"
"GLBAEP103070078"	"1753-03-10"	1753	"settlement"
"GLBAEP103070079"	"1753-03-31"	1753	"settlement"
"GLBAEP103070080"	"1753-04-17"	1753	"settlement"
"GLBAEP103070084"	"1753-05-00"	1753	"settlement"
"GLBAEP103070081"	"1753-05-02"	1753	"settlement"
"GLBAEP103070083"	"1753-05-23"	1753	"settlement"
"GLBAEP103070085"	"1753-07-27"	1753	"settlement"
"GLBAEP103070086"	"1753-08-21"	1753	"settlement"
"GLBAEP103070087"	"1753-09-08"	1753	"settlement"
"GLBAEP103070089"	"1753-09-24"	1753	"settlement"
"GLBAEP103070090"	"1753-10-12"	1753	"bastardy"
"GLBAEP103070092"	"1753-10-31"	1753	"settlement"
"GLBAEP103070093"	"1753-11-29"	1753	"settlement"
"GLBAEP103070094"	"1753-12-31"	1753	"settlement"
"GLBAEP103070095"	"1754-01-15"	1754	"settlement"
"GLBAEP103070096"	"1754-02-09"	1754	"settlement"
"GLBAEP103070097"	"1754-02-15"	1754	"settlement"
"GLBAEP103070098"	"1754-02-22"	1754	"settlement"
"GLBAEP103070099"	"1754-03-00"	1754	"settlement"
"GLBAEP103070100"	"1754-03-19"	1754	"settlement"
"GLBAEP103070101"	"1754-04-06"	1754	"settlement"
"GLBAEP103070102"	"1754-04-09"	1754	"settlement"
"GLBAEP103070103"	"1754-04-20"	1754	"settlement"
"GLBAEP103070104"	"1754-04-27"	1754	"settlement"
"GLBAEP103070106"	"1754-05-10"	1754	"settlement"
"GLBAEP103070107"	"1754-05-10"	1754	"settlement"
"GLBAEP103070108"	"1754-05-13"	1754	"settlement"
"GLBAEP103070109"	"1754-05-13"	1754	"settlement"
"GLBAEP103070110"	"1754-07-03"	1754	"bastardy"
"GLBAEP103070112"	"1754-08-07"	1754	"settlement"
"GLBAEP103070113"	"1754-08-29"	1754	"settlement"
"GLBAEP103070114"	"1754-09-04"	1754	"settlement"
"GLBAEP103070115"	"1754-09-04"	1754	"settlement"
"GLBAEP103070116"	"1754-09-07"	1754	"bastardy"
"GLBAEP103070119"	"1754-10-05"	1754	"settlement"
"GLBAEP103070118"	"1754-10-07"	1754	"settlement"
"GLBAEP103070120"	"1754-10-17"	1754	"bastardy"
"GLBAEP103070122"	"1754-10-29"	1754	"settlement"
"GLBAEP103070123"	"1754-11-06"	1754	"settlement"
"GLBAEP103070124"	"1754-11-26"	1754	"settlement"
"GLBAEP103070126"	"1754-11-30"	1754	"settlement"
"GLBAEP103070127"	"1754-12-23"	1754	"settlement"
"GLBAEP103070128"	"1754-12-24"	1754	"settlement"
"GLBAEP103070130"	"1755-02-10"	1755	"settlement"
"GLBAEP103070132"	"1755-03-08"	1755	"settlement"
"GLBAEP103070133"	"1755-03-11"	1755	"settlement"
"GLBAEP103070134"	"1755-03-29"	1755	"settlement"
"GLBAEP103070135"	"1755-04-07"	1755	"bastardy"
"GLBAEP103070137"	"1755-06-20"	1755	"settlement"
"GLBAEP103070138"	"1755-07-22"	1755	"settlement"
"GLBAEP103070141"	"1755-08-02"	1755	"settlement"
"GLBAEP103070140"	"1755-08-04"	1755	"settlement"
"GLBAEP103070142"	"1755-09-03"	1755	"settlement"
"GLBAEP103070143"	"1755-09-17"	1755	"settlement"
"GLBAEP103070144"	"1755-09-30"	1755	"settlement"
"GLBAEP103070145"	"1755-10-06"	1755	"settlement"
"GLBAEP103070147"	"1755-12-01"	1755	"settlement"
"GLBAEP103070148"	"1755-12-05"	1755	"settlement"
"GLBAEP103070149"	"1755-12-19"	1755	"settlement"
"GLBAEP103070150"	"1756-01-03"	1756	"settlement"
"GLBAEP103070152"	"1756-01-09"	1756	"settlement"
"GLBAEP103070153"	"1756-01-23"	1756	"settlement"
"GLBAEP103070154"	"1756-01-30"	1756	"settlement"
"GLBAEP103070155"	"1756-02-03"	1756	"settlement"
"GLBAEP103070156"	"1756-02-10"	1756	"settlement"
"GLBAEP103070157"	"1756-02-13"	1756	"settlement"
"GLBAEP103070158"	"1756-03-25"	1756	"settlement"
"GLBAEP103070159"	"1756-03-30"	1756	"settlement"
"GLBAEP103070160"	"1756-04-06"	1756	"settlement"
"GLBAEP103070161"	"1756-05-11"	1756	"settlement"
"GLBAEP103070162"	"1756-06-25"	1756	"settlement"
"GLBAEP103070164"	"1756-07-19"	1756	"settlement"
"GLBAEP103070165"	"1756-07-31"	1756	"bastardy"
"GLBAEP103070167"	"1756-08-20"	1756	"settlement"
"GLBAEP103070168"	"1756-09-04"	1756	"settlement"
"GLBAEP103070169"	"1756-09-08"	1756	"settlement"
"GLBAEP103070170"	"1756-09-30"	1756	"settlement"
