"exam_date"	"exam_year"	"exam_month"	"has_order"	"has_order_b"	"ex_on_behalf"	"count_exts"	"count_names"	"ext_gender"	"names_gender"	"has_child16"	"child16_only"	"b_child16"	"exam_type"	"exam_type_bsv"	"ext_type"	"bastardy_s"	"exam_id"	"rv_id"	"multi_rv_id"
"1753-01-06"	1753	1	"no"	0	0	1	1	"f"	"f"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110140"	""	""
"1753-01-06"	1753	1	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110141"	""	""
"1753-01-07"	1753	1	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358120035"	""	""
"1753-01-08"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110142"	"WCCDRV36900_0096"	""
"1753-01-11"	1753	1	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110143"	""	""
"1753-01-13"	1753	1	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110144"	""	""
"1753-01-15"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110145"	"WCCDRV36900_0097"	""
"1753-01-16"	1753	1	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110146"	""	""
"1753-01-17"	1753	1	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110147"	"WCCDRV36900_0105"	""
"1753-01-17"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110148"	"WCCDRV36900_0106"	""
"1753-01-17"	1753	1	"yes"	1	0	1	4	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110149"	"WCCDRV36900_0106a"	""
"1753-01-20"	1753	1	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110150"	"WCCDRV36900_0107"	""
"1753-01-22"	1753	1	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110151"	""	""
"1753-01-22"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110152"	"WCCDRV36900_0108"	""
