"order_id"	"doc_date"	"doc_year"	"doc_month"	"has_exam"	"has_exam_b"	"multi_orders"	"vagrant"	"name_count"	"gender"	"has_child"	"to_area"	"link_exam_id"	"link_rv_chain"
"WCCDRV36900_0082"	"1753-11-23"	1753	11	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110121"	""
"WCCDRV36900_0096"	"1753-01-08"	1753	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110142"	""
"WCCDRV36900_0097"	"1753-01-15"	1753	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110145"	""
"WCCDRV36900_0098"	"1753-01-27"	1753	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110155"	""
"WCCDRV36900_0099"	"1753-01-31"	1753	1	"yes"	1	0	0	3	"fm"	1	"London"	"WCCDEP358110161"	""
"WCCDRV36900_0101"	"1753-02-07"	1753	2	"yes"	1	1	0	1	"f"	0	"London"	"WCCDEP358110170"	"WCCDRV36900_0101 | WCCDRV36900_0661"
"WCCDRV36900_0102"	"1753-02-16"	1753	2	"yes"	1	0	0	2	"fm"	1	"London"	"WCCDEP358110179"	""
"WCCDRV36900_0103"	"1753-02-16"	1753	2	"yes"	1	0	1	1	"m"	0	"Warwickshire"	"WCCDEP358110180"	""
"WCCDRV36900_0104"	"1753-02-05"	1753	2	"yes"	1	0	1	1	"f"	0	"Ireland"	"WCCDEP358110167"	""
"WCCDRV36900_0105"	"1753-01-17"	1753	1	"yes"	1	0	1	1	"m"	0	"Leicestershire"	"WCCDEP358110147"	""
"WCCDRV36900_0106"	"1753-01-17"	1753	1	"yes"	1	0	1	1	"f"	0	"Lancashire"	"WCCDEP358110148"	""
"WCCDRV36900_0106a"	"1753-01-17"	1753	1	"yes"	1	0	1	1	"m"	0	"Lancashire"	"WCCDEP358110149"	""
"WCCDRV36900_0107"	"1753-01-20"	1753	1	"yes"	1	0	1	1	"m"	0	"Devon"	"WCCDEP358110150"	""
"WCCDRV36900_0108"	"1753-01-22"	1753	1	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110152"	""
